Title,Year,Rating,Duration,Genre,Score,Summary,Link
The Terminator,1984,R,107 min,"Action, Sci-Fi",8/10,"In 1984, a human soldier is tasked to stop an indestructible cyborg killing machine, both sent from 2029, from executing a young woman, whose unborn son is the key to humanity's future salvation.",https://www.imdb.com/title/tt0088247/
Ronin,1998,R,122 min,"Action, Crime, Thriller",7.3/10,A freelancing former U.S. Intelligence Agent tries to track down a mysterious package that is wanted by the Irish and the Russians.,https://www.imdb.com/title/tt0122690/
True Lies,1994,R,141 min,"Action, Comedy, Thriller",7.2/10,"A fearless, globe-trotting, terrorist-battling secret agent has his life turned upside down when he discovers his wife might be having an affair with a used-car salesman while terrorists smuggle nuclear war heads into the United States.",https://www.imdb.com/title/tt0111503/
Aliens,1986,R,137 min,"Action, Adventure, Sci-Fi",8.3/10,"Ellen Ripley is rescued by a deep salvage team after being in hypersleep for 57 years. The moon that the Nostromo visited has been colonized, but contact is lost. This time, colonial marines have impressive firepower, but will that be enough?",https://www.imdb.com/title/tt0090605/
Dunkirk,2017,PG-13,106 min,"Action, Drama, History",7.9/10,"Allied soldiers from Belgium, the British Empire, and France are surrounded by the German Army, and evacuated during a fierce battle in World War II.",https://www.imdb.com/title/tt5013056/
Midnight Run,1988,R,126 min,"Action, Comedy, Crime",7.5/10,"An accountant is chased by bounty hunters, the F.B.I., and the Mafia after jumping bail.",https://www.imdb.com/title/tt0095631/
Oldboy,2003,R,120 min,"Action, Drama, Mystery",8.4/10,"After being kidnapped and imprisoned for fifteen years, Oh Dae-Su is released, only to find that he must find his captor in five days.",https://www.imdb.com/title/tt0364569/
Sherlock Holmes,2009,PG-13,128 min,"Action, Adventure, Crime",7.6/10,Detective Sherlock Holmes and his stalwart partner Watson engage in a battle of wits and brawn with a nemesis whose plot is a threat to all of England.,https://www.imdb.com/title/tt0988045/
Mission: Impossible,1996,PG-13,110 min,"Action, Adventure, Thriller",7.1/10,"An American agent, under false suspicion of disloyalty, must discover and expose the real spy without the help of his organization.",https://www.imdb.com/title/tt0117060/
Face/Off,1997,R,138 min,"Action, Crime, Sci-Fi",7.3/10,"In order to foil a terrorist plot, an FBI agent undergoes facial transplant surgery and assumes the identity of a criminal mastermind, who murdered his only son. The plan turns sour when the criminal wakes up prematurely and seeks revenge.",https://www.imdb.com/title/tt0119094/
Scott Pilgrim vs. the World,2010,PG-13,112 min,"Action, Comedy, Fantasy",7.5/10,Scott Pilgrim must defeat his new girlfriend's seven evil exes in order to win her heart.,https://www.imdb.com/title/tt0446029/
Spider-Man,2002,PG-13,121 min,"Action, Adventure, Sci-Fi",7.3/10,"When bitten by a genetically modified spider, a nerdy, shy, and awkward high school student gains spider-like abilities that he eventually must use to fight evil as a superhero after tragedy befalls his family.",https://www.imdb.com/title/tt0145487/
Taken,2008,PG-13,90 min,"Action, Adventure, Crime",7.8/10,"A retired CIA agent travels across Europe and relies on his old skills to save his estranged daughter, who has been kidnapped while on a trip to Paris.",https://www.imdb.com/title/tt0936501/
Defiance,2008,R,137 min,"Action, Drama, History",7.2/10,"Jewish brothers in Nazi-occupied Eastern Europe escape into the Belarussian forests, where they join Russian resistance fighters, and endeavor to build a village, in order to protect themselves and about one thousand Jewish non-combatants.",https://www.imdb.com/title/tt1034303/
Rush,2013,R,123 min,"Biography, Drama, Sport",8.1/10,The merciless 1970s rivalry between Formula One rivals James Hunt and Niki Lauda.,https://www.imdb.com/title/tt1979320/
The Avengers,2012,PG-13,143 min,"Action, Adventure, Sci-Fi",8/10,Earth's mightiest heroes must come together and learn to fight as a team if they are going to stop the mischievous Loki and his alien army from enslaving humanity.,https://www.imdb.com/title/tt0848228/
Baby Driver,2017,R,113 min,"Action, Crime, Drama",7.6/10,"After being coerced into working for a crime boss, a young getaway driver finds himself taking part in a heist doomed to fail.",https://www.imdb.com/title/tt3890160/
Mission: Impossible II,2000,PG-13,123 min,"Action, Adventure, Thriller",6.1/10,"IMF agent Ethan Hunt is sent to Sydney to find and destroy a genetically modified disease called ""Chimera"".",https://www.imdb.com/title/tt0120755/
Bonnie and Clyde,1967,R,111 min,"Action, Biography, Crime",7.8/10,"Bored waitress Bonnie Parker falls in love with an ex-con named Clyde Barrow and together they start a violent crime spree through the country, stealing cars and robbing banks.",https://www.imdb.com/title/tt0061418/
Grindhouse,2007,R,191 min,"Action, Horror, Thriller",7.5/10,Quentin Tarantino and Robert Rodriguez's homage to exploitation double features in the 60s and 70s with two back-to-back cult films that include previews of coming attractions between them.,https://www.imdb.com/title/tt0462322/
Kick-Ass,2010,R,117 min,"Action, Adventure, Comedy",7.6/10,"Dave Lizewski is an unnoticed high school student and comic book fan who one day decides to become a superhero, even though he has no powers, training or meaningful reason to do so.",https://www.imdb.com/title/tt1250777/
Enemy of the State,1998,R,132 min,"Action, Thriller",7.3/10,A lawyer becomes targeted by a corrupt politician and his N.S.A. goons when he accidentally receives key evidence to a politically motivated crime.,https://www.imdb.com/title/tt0120660/
John Wick: Chapter 3 - Parabellum,2019,R,131 min,"Action, Crime, Thriller",7.5/10,"John Wick is on the run after killing a member of the international assassins' guild, and with a $14 million price tag on his head, he is the target of hit men and women everywhere.",https://www.imdb.com/title/tt6146586/
The Bourne Supremacy,2004,PG-13,108 min,"Action, Mystery, Thriller",7.7/10,"When Jason Bourne is framed for a CIA operation gone awry, he is forced to resume his former life as a trained assassin to survive.",https://www.imdb.com/title/tt0372183/
Avengers: Infinity War,2018,PG-13,149 min,"Action, Adventure, Sci-Fi",8.5/10,The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe.,https://www.imdb.com/title/tt4154756/
Bullitt,1968,M/PG,114 min,"Action, Crime, Thriller",7.4/10,"An all guts, no glory San Francisco cop becomes determined to find the underworld kingpin that killed the witness in his protection.",https://www.imdb.com/title/tt0062765/
La Femme Nikita,1990,R,117 min,"Action, Thriller",7.3/10,"Convicted felon Nikita, instead of going to jail, is given a new identity and trained, stylishly, as a top secret spy/assassin.",https://www.imdb.com/title/tt0100263/
Doctor Strange,2016,PG-13,115 min,"Action, Adventure, Fantasy",7.5/10,"While on a journey of physical and spiritual healing, a brilliant neurosurgeon is drawn into the world of the mystic arts.",https://www.imdb.com/title/tt1211837/
RoboCop,1987,R,102 min,"Action, Crime, Sci-Fi",7.5/10,"In a dystopic and crime-ridden Detroit, a terminally wounded cop returns to the force as a powerful cyborg haunted by submerged memories.",https://www.imdb.com/title/tt0093870/
The Matrix Revolutions,2003,R,129 min,"Action, Sci-Fi",6.8/10,The human city of Zion defends itself against the massive invasion of the machines as Neo fights to end the war at another front while also opposing the rogue Agent Smith.,https://www.imdb.com/title/tt0242653/
Edge of Tomorrow,2014,PG-13,113 min,"Action, Adventure, Sci-Fi",7.9/10,"A soldier fighting aliens gets to relive the same day over and over again, the day restarting every time he dies.",https://www.imdb.com/title/tt1631867/
Desperado,1995,R,104 min,"Action, Crime, Thriller",7.2/10,Former musician and gunslinger El Mariach arrives at a small Mexican border town after being away for a long time. His past quickly catches up with him and he soon gets entangled with the local drug kingpin Bucho and his gang.,https://www.imdb.com/title/tt0112851/
The Mummy,1999,PG-13,124 min,"Action, Adventure, Fantasy",7/10,"At an archaeological dig in the ancient city of Hamunaptra, an American serving in the French Foreign Legion accidentally awakens a mummy who begins to wreck havoc as he searches for the reincarnation of his long-lost love.",https://www.imdb.com/title/tt0120616/
Skyfall,2012,PG-13,143 min,"Action, Adventure, Thriller",7.7/10,"James Bond's loyalty to M is tested when her past comes back to haunt her. When MI6 comes under attack, 007 must track down and destroy the threat, no matter how personal the cost.",https://www.imdb.com/title/tt1074638/
Deadpool,2016,R,108 min,"Action, Adventure, Comedy",8/10,"A wisecracking mercenary gets experimented on and becomes immortal but ugly, and sets out to track down the man who ruined his looks.",https://www.imdb.com/title/tt1431045/
Man on Fire,2004,R,146 min,"Action, Crime, Drama",7.7/10,"In Mexico City, a former CIA operative swears vengeance on those who committed an unspeakable act against the family he was hired to protect.",https://www.imdb.com/title/tt0328107/
Ant-Man,2015,PG-13,117 min,"Action, Adventure, Comedy",7.3/10,"Armed with a super-suit with the astonishing ability to shrink in scale but increase in strength, cat burglar Scott Lang must embrace his inner hero and help his mentor, Dr. Hank Pym, plan and pull off a heist that will save the world.",https://www.imdb.com/title/tt0478970/
Lethal Weapon,1987,R,109 min,"Action, Crime, Thriller",7.6/10,Two newly paired cops who are complete opposites must put aside their differences in order to catch a gang of drug smugglers.,https://www.imdb.com/title/tt0093409/
The Matrix Reloaded,2003,R,138 min,"Action, Sci-Fi",7.2/10,"Neo and his allies race against time before the machines discover the city of Zion and destroy it. While seeking the truth about the Matrix, Neo must save Trinity from a dark fate within his dreams.",https://www.imdb.com/title/tt0234215/
Looper,2012,R,113 min,"Action, Crime, Drama",7.4/10,"In 2074, when the mob wants to get rid of someone, the target is sent into the past, where a hired gun awaits - someone like Joe - who one day learns the mob wants to 'close the loop' by sending back Joe's future self for assassination.",https://www.imdb.com/title/tt1276104/
Mission: Impossible - Fallout,2018,PG-13,147 min,"Action, Adventure, Thriller",7.7/10,"Ethan Hunt and his IMF team, along with some familiar allies, race against time after a mission gone wrong.",https://www.imdb.com/title/tt4912910/
Guardians of the Galaxy,2014,PG-13,121 min,"Action, Adventure, Comedy",8/10,A group of intergalactic criminals must pull together to stop a fanatical warrior with plans to purge the universe.,https://www.imdb.com/title/tt2015381/
Spy Game,2001,R,126 min,"Action, Crime, Thriller",7.1/10,Retiring CIA agent Nathan Muir recalls his training of Tom Bishop while working against agency politics to free him from his Chinese captors.,https://www.imdb.com/title/tt0266987/
Wonder Woman,2017,PG-13,141 min,"Action, Adventure, Fantasy",7.4/10,"When a pilot crashes and tells of conflict in the outside world, Diana, an Amazonian warrior in training, leaves home to fight a war, discovering her full powers and true destiny.",https://www.imdb.com/title/tt0451279/
Ying xiong,2002,PG-13,107 min,"Action, Adventure, History",7.9/10,"A defense officer, Nameless, was summoned by the King of Qin regarding his success of terminating three warriors.",https://www.imdb.com/title/tt0299977/
American Sniper,2014,R,133 min,"Action, Biography, Drama",7.3/10,"Navy S.E.A.L. sniper Chris Kyle's pinpoint accuracy saves countless lives on the battlefield and turns him into a legend. Back home with his family after four tours of duty, however, Chris finds that it is the war he can't leave behind.",https://www.imdb.com/title/tt2179136/
King Kong,2005,PG-13,187 min,"Action, Adventure, Drama",7.2/10,"A greedy film producer assembles a team of moviemakers and sets out for the infamous Skull Island, where they find more than just cannibalistic natives.",https://www.imdb.com/title/tt0360717/
